workbook,seed_use_number,crop,rate_level,application_rate,application_rate_unit,source,status
legumes_deep,16.0,"Bean, Vigna anugularis  (adzuki bean) or Vigna unguiculata (yardlong bean /cowpea/black-eyed pea/southern pea/crowder pea/ /Chinese long bean)",mid,500.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,16.0,"Bean, Vigna anugularis  (adzuki bean) or Vigna unguiculata (yardlong bean /cowpea/black-eyed pea/southern pea/crowder pea/ /Chinese long bean)",low,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,17.0,"Chickpea, Desi",high,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,17.0,"Chickpea, Desi",mid,200.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,17.0,"Chickpea, Desi",low,100.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,18.0,"Chickpea, Kabuli",high,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,18.0,"Chickpea, Kabuli",mid,200.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,18.0,"Chickpea, Kabuli",low,100.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,19.0,Lentil,high,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,19.0,Lentil,mid,200.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,19.0,Lentil,low,100.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,20.0,"Pea, field/dry pulse",high,500.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,20.0,"Pea, field/dry pulse",mid,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,20.0,"Pea, field/dry pulse",low,100.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_shallow,1.0,"Bean, snap",high,500.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_shallow,1.0,"Bean, snap",low,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_shallow,2.0,Lupin,high,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_shallow,2.0,Lupin,mid,200.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_shallow,2.0,Lupin,low,100.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_shallow,3.0,"Pea, horticultural/vegetable",high,500.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_shallow,3.0,"Pea, horticultural/vegetable",low,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_shallow,4.0,Soybean,high,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_shallow,5.0,Soybean,high,0.045,mg a.i./seed,CRUISER® 5FS Seed Treatment label Reg. No. 27045,ASSESSMENT_DEFAULT
cucurbits,1.0,"Cucumber, processing, including pickling and gherkin",high,0.75,mg a.i./seed,VUI 3622323,ASSESSMENT_DEFAULT
cucurbits,1.0,"Cucumber, processing, including pickling and gherkin",low,0.25,mg a.i./seed,VUI 3622323,ASSESSMENT_DEFAULT
cucurbits,2.0,"Cucumber, fresh market",high,0.75,mg a.i./seed,VUI 3622323,ASSESSMENT_DEFAULT
cucurbits,2.0,"Cucumber, fresh market",low,0.25,mg a.i./seed,VUI 3622323,ASSESSMENT_DEFAULT
cucurbits,3.0,Gourd,high,0.75,mg a.i./seed,VUI 3622323,ASSESSMENT_DEFAULT
cucurbits,3.0,Gourd,low,0.25,mg a.i./seed,VUI 3622323,ASSESSMENT_DEFAULT
cucurbits,4.0,"Gourd, bitter",high,0.75,mg a.i./seed,VUI 3622323,ASSESSMENT_DEFAULT
cucurbits,4.0,"Gourd, bitter",low,0.25,mg a.i./seed,VUI 3622323,ASSESSMENT_DEFAULT
cucurbits,5.0,Melon (excluding citron and watermelon),high,0.75,mg a.i./seed,VUI 3622323,ASSESSMENT_DEFAULT
cucurbits,5.0,Melon (excluding citron and watermelon),low,0.25,mg a.i./seed,VUI 3622323,ASSESSMENT_DEFAULT
cucurbits,6.0,"Melon, citron and watermelon",high,0.75,mg a.i./seed,VUI 3622323,ASSESSMENT_DEFAULT
cucurbits,6.0,"Melon, citron and watermelon",low,0.25,mg a.i./seed,VUI 3622323,ASSESSMENT_DEFAULT
cucurbits,7.0,"Squash, summer",high,0.75,mg a.i./seed,VUI 3622323,ASSESSMENT_DEFAULT
cucurbits,7.0,"Squash, summer",low,0.25,mg a.i./seed,VUI 3622323,ASSESSMENT_DEFAULT
cucurbits,8.0,"Squash, winter",high,0.75,mg a.i./seed,VUI 3622323,ASSESSMENT_DEFAULT
cucurbits,8.0,"Squash, winter",low,0.25,mg a.i./seed,VUI 3622323,ASSESSMENT_DEFAULT
